analysis_year,analysis_era,run,scope_name,member_count,proof,all_active_members_unprescaled,ls_tolerance_fb
2022,2022,355769,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355769,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355862,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355863,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355870,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355871,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355872,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355892,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355912,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
