Before running:,voms-proxy-init --voms cms -valid 192:0

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>
Command:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
Check jobs status:,mkPostProc -o 1 -p <production> -s <step> -T <sample>

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22EE_130x_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22EE_130x_nAODv12_Full2022v12/*

,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022EE_Prompt_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022EE_Prompt_nAODv12_Full2022v12/*

Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 loose
DYto2Tau-2Jets_MLL-50_1J,Done,Luca,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYto2Tau-2Jets_MLL-50_1J
DYto2Tau-2Jets_MLL-50_2J,Done,Luca,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYto2Tau-2Jets_MLL-50_2J
DYGto2LG-1Jets_MLL-4to50_PTG-10to100,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-4to50_PTG-10to100
DYGto2LG-1Jets_MLL-4to50_PTG-100to200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-4to50_PTG-100to200
DYGto2LG-1Jets_MLL-4to50_PTG-200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-4to50_PTG-200
DYGto2LG-1Jets_MLL-50_PTG-10to100,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-50_PTG-10to100
DYGto2LG-1Jets_MLL-50_PTG-100to200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-50_PTG-100to200
DYGto2LG-1Jets_MLL-50_PTG-200to400,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-50_PTG-200to400
DYGto2LG-1Jets_MLL-50_PTG-400to600,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-50_PTG-400to600
DYGto2LG-1Jets_MLL-50_PTG-600,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYGto2LG-1Jets_MLL-50_PTG-600,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight/DYGto2LG-1Jets_MLL-50_PTG-600__part0/script.py
MC l1 loose fake Sel,MC l1 loose fake Sel
DYto2L-2Jets_MLL-50,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl1loose2022EEv12__MCCorr2022EEv12JetScaling__fakeSel -T DYto2L-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl1loose2022EEv12__MCCorr2022EEv12JetScaling__fakeSel/DYto2L-2Jets_MLL-50__part0/script.py
WToLNu-2Jets,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl1loose2022EEv12__MCCorr2022EEv12JetScaling__fakeSel -T WToLNu-2Jets,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl1loose2022EEv12__MCCorr2022EEv12JetScaling__fakeSel/WToLNu-2Jets__part0/script.py
DATA l1 loose fake Sel,DATA l1 loose fakeW
All DATA,Done,Víctor,mkPostProc -o 0 -p Run2022EE_Prompt_nAODv12_Full2022v12 -s DATAl1loose2022EEv12__fakeSel




DATA l2 tight,DATA l2 tight
All DATA,WAIT BEFORE LAUNCHING,,mkPostProc -o 0 -p Run2022EE_Prompt_nAODv12_Full2022v12 -s DATAl2loose2022EEv12__l2tight ,python mkShapesRDF/processor/condor/Run2022EE_Prompt_nAODv12_Full2022v12/DATAl2loose2022EEv12__l2tight/
